component,n,missing_pct,mean,std,p10,p25,p50,p75,p90,min_bin_pct,max_bin_pct
count_score,3376,0.0,8.553021327014218,2.9442478349016072,5.0,10.0,10.0,10.0,10.0,7.049763033175356,78.11018957345972
visibility_mean_score,3376,0.0,3.502173243740268,1.6644931658461573,1.4210526315789471,2.473684210526316,3.466666666666667,4.533333333333333,5.6,3.5545023696682465,0.2962085308056872
visibility_max_score,3376,0.0,9.393661137440759,2.132209728294672,10.0,10.0,10.0,10.0,10.0,3.5545023696682465,90.96563981042654
lidar_sparsity_mean_score,3376,0.0,7.111442468559768,1.5510213947483902,5.325757575757576,6.428571428571429,7.3164313222079596,8.175892857142857,8.753048780487806,0.8590047393364929,0.9182464454976302
lidar_sparsity_max_score,3376,0.0,9.826718009478673,1.1287003388748953,10.0,10.0,10.0,10.0,10.0,0.8590047393364929,97.09715639810426
truncation_mean_score,3376,0.0,0.3316157711089309,0.4927013775106265,0.0,0.0,0.15672514619883035,0.4666666666666667,0.9090909090909092,37.44075829383886,0.05924170616113744
truncation_max_score,3376,0.0,4.406694312796208,4.151166144360305,0.0,0.0,3.0,10.0,10.0,37.44075829383886,27.22156398104265
